is_manipulated,manipulation_angle,online_feedback,endpoint_feedback,was_restarted,is_judged,label,too_slow,manipulation_type,rt,target_angle,reach_angle,diff_angle,target_dist,trial,id,exp_version,judgement_rt,judgement_decision_time,judgement_loc,judgement_width,judgement_score
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.342051983,90,96.19777966,6.197779659,70,49,msl000394,v2,1.042497396,2.186545372,-180,10.96596069,1121
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.345927,0,-6.628844226,-6.628844226,70,50,msl000394,v2,0.563676596,1.779726505,90,9.631463623,1121
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.273642063,-135,-129.0320727,5.967927287,70,51,msl000394,v2,0.20465064,1.468663454,-45,18.30569458,1203
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.468456984,180,168.8114061,-11.18859388,70,52,msl000394,v2,0.275403261,1.24341011,-90,18.97294312,1285
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.396238089,-90,-82.15173718,7.848262823,70,53,msl000394,v2,0.240629196,0.792619228,0,50,1335
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.439795971,135,149.7019681,14.70196806,70,54,msl000394,v2,0.375252485,1.455302477,-135,14.30220337,1421
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.357214928,-45,-49.36796129,-4.367961294,70,55,msl000394,v2,0.411915302,1.531923294,45,13.63495483,1508
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.282369137,45,33.65006436,-11.34993564,70,56,msl000394,v2,0.182399988,1.350400925,135,14.63582764,1594
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.475949049,-45,-51.67878125,-6.678781249,70,57,msl000394,v2,0.280769587,1.440734625,45,10.96596069,1684
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.38595891,-135,-133.3576445,1.642355486,70,58,msl000394,v2,0.117412567,1.213367701,-45,13.9685791,1771
0,0,1,1,0,1,BASELINE_AIM,1,NONE,0.361954927,-90,-84.90630826,5.093691737,70,59,msl000394,v2,0.212839365,1.316797256,0,14.9694519,1771
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.210362196,45,41.02690538,-3.973094624,70,60,msl000394,v2,0.30460906,1.376551867,135,14.30220337,1857
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.193331003,135,142.8410533,7.84105328,70,61,msl000394,v2,0.271007776,1.511009932,-135,8.63059082,1949
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.470828056,180,179.5360555,-0.463944478,70,62,msl000394,v2,0.196821451,1.300858259,-90,11.9668335,1949
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.285547972,90,85.87295406,-4.127045938,70,63,msl000394,v2,0.266807318,1.258793354,-180,15.97032471,2034
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.284472942,0,-4.16193109,-4.16193109,70,64,msl000394,v2,0.094948769,1.230912685,90,10.63233643,2124
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.366667032,-90,-83.35982826,6.64017174,70,65,msl000394,v2,0.297734976,1.393759966,0,13.30133057,2124
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.225883007,180,-154.4905979,25.50940212,70,66,msl000394,v2,0.224593639,1.392577648,-90,12.63408203,2124
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.275204897,-135,-132.3242826,2.675717362,70,67,msl000394,v2,0.206946135,1.390944004,-45,12.63408203,2212
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.243571043,0,-8.430679243,-8.430679243,70,68,msl000394,v2,0.112321854,1.168332815,90,14.9694519,2298
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.443649054,90,77.70185336,-12.29814664,70,69,msl000394,v2,0.321035624,1.505072594,-180,10.29871216,2388
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.279911995,45,46.81203451,1.812034506,70,70,msl000394,v2,0.514278173,1.722268105,135,7.963342285,2388
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.348564863,-45,-35.32377934,9.676220656,70,71,msl000394,v2,0.294513702,1.366498709,45,13.30133057,2475
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.448521852,135,140.037042,5.03704201,70,72,msl000394,v2,0.458161831,1.602124929,-135,12.30045776,2563
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.272083044,-135,-137.7703785,-2.770378537,70,73,msl000394,v2,0.497632504,1.593713522,-45,10.63233643,2563
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.195402145,-90,-98.91438677,-8.914386767,70,74,msl000394,v2,0.255982161,1.727953196,0,9.297839355,2563
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.525185108,180,-151.2934213,28.70657872,70,75,msl000394,v2,2.119256258,5.335223198,-113.0200745,20.64106445,2563
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.3666749,0,-31.97622331,-31.97622331,70,76,msl000394,v2,2.158971786,5.350985765,63.810495,34.65328369,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.114660025,135,153.2625935,18.26259352,70,77,msl000394,v2,12.75951481,17.3114779,-116.6506653,39.32402344,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.303004026,-45,-17.77556129,27.22443871,70,78,msl000394,v2,2.717632771,4.301619768,64.51701965,50,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.398887157,90,123.6691772,33.66917715,70,79,msl000394,v2,0.579279661,4.227341652,-149.3065674,28.98167114,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.396152973,45,58.74343645,13.74343645,70,80,msl000394,v2,0.896649361,3.368690491,164.8593719,37.32227783,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.389884949,-90,-46.18727394,43.81272606,70,81,msl000394,v2,0.842385292,3.658505201,33.86286316,25.64542847,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.415004969,135,146.4174964,11.41749642,70,82,msl000394,v2,0.518623829,2.974674702,-101.1371368,34.65328369,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.382273912,-45,-30.68876144,14.31123856,70,83,msl000394,v2,0.345376253,1.761384249,72.02356567,41.65939331,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.191715002,-135,-117.4061031,17.59389692,70,84,msl000394,v2,0.071645498,1.615649462,-19.64455566,27.98079834,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.491029978,0,17.61274437,17.61274437,70,85,msl000394,v2,0.856304884,2.208318949,113.8541351,50,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.112236977,45,50.85410177,5.854101767,70,86,msl000394,v2,2.037713528,4.709709644,160.0218201,50,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.101331949,180,-132.0098156,47.9901844,70,87,msl000394,v2,2.311770439,3.903849363,-59.64019165,28.98167114,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.278083086,90,127.4912959,37.49129586,70,88,msl000394,v2,0.081014872,1.225001812,-151.1415009,43.32751465,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.213413,45,60.0132467,15.0132467,70,89,msl000394,v2,1.403454542,3.651462555,165.8602448,63.01134644,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.164326906,180,-135.939976,44.06002405,70,90,msl000394,v2,0.586572886,2.354587793,-56.47076111,28.31442261,2629
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.56801796,-45,-46.7182101,-1.718210104,70,91,msl000394,v2,0.652373552,2.284435511,45,89.70128784,2640
1,30,1,1,0,1,PERTURBATION,0,ROTATION,1.025439978,-90,-121.4354512,-31.4354512,70,92,msl000394,v2,2.584988117,4.968991041,-25.02182007,39.65764771,2701
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.587491035,135,163.4729422,28.47294217,70,93,msl000394,v2,1.043854713,5.051928759,-111.1458649,71.68557739,2701
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.610677004,0,-42.2441851,-42.2441851,70,94,msl000394,v2,0.976984024,4.736994982,64.8113678,63.3449707,2738
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.486941099,-135,-160.9177843,-25.91778429,70,95,msl000394,v2,0.37856245,2.026577473,-67.6864502,43.32751465,2795
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.46617794,90,58.89895268,-31.10104732,70,96,msl000394,v2,0.594710112,2.634665012,-199.8506439,36.6550293,2859
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.225518942,135,110.7653051,-24.23469492,70,97,msl000394,v2,0.289132357,2.585188389,-149.8462799,58.00698242,2901
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.396743059,0,-31.26440159,-31.26440159,70,98,msl000394,v2,0.48768115,3.551697016,59.30656738,26.64630127,2975
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.191988945,-135,-165.7340187,-30.73401868,70,99,msl000394,v2,0.560157061,3.992235184,-68.687323,35.98778076,3040
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.397686005,-45,-66.03338869,-21.03338869,70,100,msl000394,v2,0.48382926,5.339825392,23.14761047,26.97992554,3114
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.651037931,-90,-127.5580343,-37.55803433,70,101,msl000394,v2,0.244363785,1.572347879,-25.1886322,35.65415649,3179
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.535351038,45,2.196250799,-42.8037492,70,102,msl000394,v2,0.317131042,2.245111942,98.80176697,61.00960083,3218
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.07634306,180,130.3971224,-49.60287757,70,103,msl000394,v2,0.050131798,1.882132769,-119.6925598,26.64630127,3218
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.120251179,90,59.21494935,-30.78505065,70,104,msl000394,v2,0.642589808,1.866623878,-202.5196381,33.65241089,3285
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.191262007,90,46.54023459,-43.45976541,70,105,msl000394,v2,0.357834578,2.485835552,-206.189505,7.29609375,3285
