offset_exp1,weight_exp1,exp_exp1,k_exp1,offset_exp2,weight_exp2,exp_exp2,k_exp2,offset_exp3,weight_exp3,exp_exp3,k_exp3,offset_exp4,weight_exp4,exp_exp4,k_exp4,rs_exp1,truers_exp1,rs_exp2,truers_exp2,rs_exp3,truers_exp3,rs_exp4,truers_exp4,aic1TB_exp1,aic1TBe_exp1,aicHIST_exp1,aicHISTe_exp1,aic1TB_exp2,aic1TBe_exp2,aicHIST_exp2,aicHISTe_exp2,aic1TB_exp3,aic1TBe_exp3,aicHIST_exp3,aicHISTe_exp3,aic1TB_exp4,aic1TBe_exp4,aicHIST_exp4,aicHISTe_exp4,aicdiff_exp1,aicdiff_exp2,aicdiff_exp3,aicdiff_exp4
94.47591314,4.096533152,1.021689983,0.334458951,99.99999999,23.79891844,0.142590552,0.113977686,76.09154042,9.73E-07,3.998927678,0.203489731,59.11160577,46.50475727,1.15E-12,0.074058224,0.258169385,0.257502675,0.255282509,0.260966848,0.028825625,0.025594189,0.168914827,0.16648048,38.8675525,40.54877858,-1.982354063,0,57.17850481,51.64717689,19.16714408,0,0.407435989,1.44694323,2.407435988,0,26.00788736,27.99524219,16.1810255,0,1.982354063,-19.16714408,-0.407435989,-16.1810255
91.59518251,3.111768369,0.839222362,0.442711518,78.17532709,12.6525295,0.276768007,0.563851291,74.71624351,15.4955285,0.001090942,0.363439331,69.20578175,9.697183243,0.652706624,0.374702433,0.087977081,0.080570837,0.279825819,0.260653427,0.020237261,0.007782744,0.236046719,0.22607654,6.192213069,6.723551455,-1.636804985,0,22.18598676,10.65073832,18.58779098,0,-2.671758188,-0.94341177,-0.672791158,0,21.03405061,20.48568497,-0.64869366,0,1.636804985,-10.65073832,2.671758188,0.64869366
61.76682929,0.058515949,1.780196752,0.156755701,78.31037476,5.549062899,0.485779893,0.425873912,71.12738555,6.644927828,1.050928057,0.036654778,99.99999998,25.54143697,0.581263346,0.574572402,0.234966635,0.229894896,0.255721721,0.254135914,0.877026557,0.871035804,0.659810182,0.650252574,39.72963974,41.03397785,5.135829371,0,27.20318686,18.96278686,7.451572554,0,336.7767273,338.5729608,-1.818783272,0,51.34944358,35.1082093,14.77007847,0,-5.135829371,-7.451572554,1.818783272,-14.77007847
86.28881179,0.000677263,3.708483563,0.318729982,42.08140794,0.415900937,0.97619524,0.249288545,80.3082147,21.83608755,0.377662062,0.39004296,NaN,NaN,NaN,NaN,0.36792765,0.334037963,0.203735938,0.203735639,0.036825249,0.034200001,NaN,NaN,67.07018376,38.71847056,43.88976645,0,26.70790578,25.25093573,-1.992762566,0,-0.367260434,0.553356382,0.830213586,0,NaN,NaN,NaN,0,-38.71847056,1.992762566,0.367260434,NaN
82.39524445,0.325781395,1.576001657,0.172802594,99.9999996,32.30140242,0.189197663,0.601559435,98.93611682,63.58416207,0.304566338,0.038791547,29.1529115,99.99995639,0.324390173,0.000551544,0.805039211,0.658519881,0.339243343,0.330667089,0.958417213,0.955424911,0.080298989,0.078809241,441.451303,418.2073204,3.489992786,0,31.25433071,14.14694845,17.96032818,0,518.9144744,520.8463736,43.92183533,0,9.945766842,11.94576684,-1.614246172,0,-3.489992786,-14.14694845,-43.92183533,1.614246172
81.80795413,1.071198156,1.192707391,0.251555235,100,19.90076535,0.453901116,0.063499609,78.05356632,3.036701928,1.628807474,0.023005751,71.62109644,3.620328354,1.573928761,0.025993495,0.177963305,0.17704553,0.705503187,0.705920935,0.725141401,0.724251684,0.523086473,0.522820075,23.63575392,24.8892398,-0.961058452,0,214.3955225,201.2613073,39.34706298,0,200.253119,202.043464,5.553158762,0,115.3981127,116.9305316,1.462070917,0,0.961058452,-39.34706298,-5.553158762,-1.462070917
94.29622502,1.417171027,1.189246168,0.040282255,100,6.795773874,0.482639745,0.654336163,96.87826013,18.30569052,0.63672193,0.115364581,80.51024015,3.285397216,1.159357126,0.016744512,0.154359033,0.154294254,0.368641493,0.371654686,0.703318226,0.701729801,0.297159975,0.296915446,35.1458597,36.40587405,-1.567151539,0,41.15245297,12.9519363,30.86551925,0,166.3793719,156.2382267,11.81241036,0,55.3254501,57.31807181,-1.920107149,0,1.567151539,-12.9519363,-11.81241036,1.920107149
70.0760856,0.023003162,2.530911363,0.03974613,80.07717499,2.304953161,0.788652501,0.42057461,NaN,NaN,NaN,NaN,66.8105086,5.509404485,0.719031908,0.540361465,0.223308619,0.223071829,0.972845064,0.835244179,NaN,NaN,0.450898019,0.380464356,31.92566647,29.82261424,11.33866696,0,758.9978399,743.5969725,3.051517019,0,NaN,NaN,NaN,0,19.7160237,16.02214797,0.30527827,0,-11.33866696,-3.051517019,NaN,-0.30527827
NaN,NaN,NaN,NaN,76.61307707,0.427650428,0.712251168,0.916115297,100,51.4865971,0.386338295,0.006368821,68.77214664,8.833634702,0.319410917,1,NaN,NaN,0.039778732,0.035180567,0.665410438,0.666003371,0.107692381,0.090817745,NaN,NaN,NaN,NaN,-3.739423104,-1.950325116,-1.772375901,0,178.7935745,179.6523918,43.40683767,0,-2.240000933,-2.000000001,-0.240000918,0,NaN,3.739423104,-43.40683767,2.240000933
NaN,NaN,NaN,NaN,99.99999999,10.17576036,0.408521515,0.680408712,98.40567417,0.014942695,3.999998567,0.001085445,94.18934841,1.07E-10,0.061395805,0.198393536,NaN,NaN,0.494814595,0.48839449,0.103640319,0.100967852,0.001988038,0.256140789,NaN,NaN,NaN,NaN,48.96609545,15.49608844,38.35125264,0,14.09420252,16.09420252,-0.119131298,0,-4,-2,-2,0,NaN,-15.49608844,0.119131298,4
